pokedex_number,Name,type_1,type_2,total_points,hp,attack,defense,sp_attack,sp_defense,speed,generation,status
26,Raichu,Electric,,485,60,90,55,90,80,110,1,Normal
26,Alolan Raichu,Electric,Psychic,485,60,85,50,95,85,110,1,Normal
27,Sandshrew,Ground,,300,50,75,85,20,30,40,1,Normal
27,Alolan Sandshrew,Ice,Steel,300,50,75,90,10,35,40,1,Normal
28,Sandslash,Ground,,450,75,100,110,45,55,65,1,Normal
28,Alolan Sandslash,Ice,Steel,450,75,100,120,25,65,65,1,Normal
29,Nidoran♀,Poison,,275,55,47,52,40,40,41,1,Normal
30,Nidorina,Poison,,365,70,62,67,55,55,56,1,Normal
31,Nidoqueen,Poison,Ground,505,90,92,87,75,85,76,1,Normal
32,Nidoran♂,Poison,,273,46,57,40,40,40,50,1,Normal
33,Nidorino,Poison,,365,61,72,57,55,55,65,1,Normal
34,Nidoking,Poison,Ground,505,81,102,77,85,75,85,1,Normal
35,Clefairy,Fairy,,323,70,45,48,60,65,35,1,Normal
36,Clefable,Fairy,,483,95,70,73,95,90,60,1,Normal
37,Vulpix,Fire,,299,38,41,40,50,65,65,1,Normal
37,Alolan Vulpix,Ice,,299,38,41,40,50,65,65,1,Normal
38,Ninetales,Fire,,505,73,76,75,81,100,100,1,Normal
38,Alolan Ninetales,Ice,Fairy,505,73,67,75,81,100,109,1,Normal
39,Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20,1,Normal
40,Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45,1,Normal
41,Zubat,Poison,Flying,245,40,45,35,30,40,55,1,Normal
42,Golbat,Poison,Flying,455,75,80,70,65,75,90,1,Normal
43,Oddish,Grass,Poison,320,45,50,55,75,65,30,1,Normal
44,Gloom,Grass,Poison,395,60,65,70,85,75,40,1,Normal
45,Vileplume,Grass,Poison,490,75,80,85,110,90,50,1,Normal
46,Paras,Bug,Grass,285,35,70,55,45,55,25,1,Normal
47,Parasect,Bug,Grass,405,60,95,80,60,80,30,1,Normal
48,Venonat,Bug,Poison,305,60,55,50,40,55,45,1,Normal
49,Venomoth,Bug,Poison,450,70,65,60,90,75,90,1,Normal
50,Diglett,Ground,,265,10,55,25,35,45,95,1,Normal
50,Alolan Diglett,Ground,Steel,265,10,55,30,35,45,90,1,Normal
51,Dugtrio,Ground,,425,35,100,50,50,70,120,1,Normal
51,Alolan Dugtrio,Ground,Steel,425,35,100,60,50,70,110,1,Normal
52,Meowth,Normal,,290,40,45,35,40,40,90,1,Normal
52,Alolan Meowth,Dark,,290,40,35,35,50,40,90,1,Normal
52,Galarian Meowth,Steel,,290,50,65,55,40,40,40,1,Normal
53,Persian,Normal,,440,65,70,60,65,65,115,1,Normal
53,Alolan Persian,Dark,,440,65,60,60,75,65,115,1,Normal
54,Psyduck,Water,,320,50,52,48,65,50,55,1,Normal
55,Golduck,Water,,500,80,82,78,95,80,85,1,Normal
56,Mankey,Fighting,,305,40,80,35,35,45,70,1,Normal
57,Primeape,Fighting,,455,65,105,60,60,70,95,1,Normal
58,Growlithe,Fire,,350,55,70,45,70,50,60,1,Normal
59,Arcanine,Fire,,555,90,110,80,100,80,95,1,Normal
60,Poliwag,Water,,300,40,50,40,40,40,90,1,Normal
61,Poliwhirl,Water,,385,65,65,65,50,50,90,1,Normal
62,Poliwrath,Water,Fighting,510,90,95,95,70,90,70,1,Normal
63,Abra,Psychic,,310,25,20,15,105,55,90,1,Normal
64,Kadabra,Psychic,,400,40,35,30,120,70,105,1,Normal
65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,Normal
65,Mega Alakazam,Psychic,,600,55,50,65,175,105,150,1,Normal
66,Machop,Fighting,,305,70,80,50,35,35,35,1,Normal
67,Machoke,Fighting,,405,80,100,70,50,60,45,1,Normal
68,Machamp,Fighting,,505,90,130,80,65,85,55,1,Normal
69,Bellsprout,Grass,Poison,300,50,75,35,70,30,40,1,Normal
70,Weepinbell,Grass,Poison,390,65,90,50,85,45,55,1,Normal
71,Victreebel,Grass,Poison,490,80,105,65,100,70,70,1,Normal
72,Tentacool,Water,Poison,335,40,40,35,50,100,70,1,Normal
73,Tentacruel,Water,Poison,515,80,70,65,80,120,100,1,Normal
74,Geodude,Rock,Ground,300,40,80,100,30,30,20,1,Normal
74,Alolan Geodude,Rock,Electric,300,40,80,100,30,30,20,1,Normal
75,Graveler,Rock,Ground,390,55,95,115,45,45,35,1,Normal
75,Alolan Graveler,Rock,Electric,390,55,95,115,45,45,35,1,Normal
76,Golem,Rock,Ground,495,80,120,130,55,65,45,1,Normal
76,Alolan Golem,Rock,Electric,495,80,120,130,55,65,45,1,Normal
77,Ponyta,Fire,,410,50,85,55,65,65,90,1,Normal
77,Galarian Ponyta,Psychic,,410,50,85,55,65,65,90,1,Normal
78,Rapidash,Fire,,500,65,100,70,80,80,105,1,Normal
78,Galarian Rapidash,Psychic,Fairy,500,65,100,70,80,80,105,1,Normal
79,Slowpoke,Water,Psychic,315,90,65,65,40,40,15,1,Normal
80,Slowbro,Water,Psychic,490,95,75,110,100,80,30,1,Normal
80,Mega Slowbro,Water,Psychic,590,95,75,180,130,80,30,1,Normal
81,Magnemite,Electric,Steel,325,25,35,70,95,55,45,1,Normal
82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,Normal
83,Farfetch'd,Normal,Flying,377,52,90,55,58,62,60,1,Normal
83,Galarian Farfetch'd,Fighting,,377,52,95,55,58,62,55,1,Normal
84,Doduo,Normal,Flying,310,35,85,45,35,35,75,1,Normal
85,Dodrio,Normal,Flying,470,60,110,70,60,60,110,1,Normal
86,Seel,Water,,325,65,45,55,45,70,45,1,Normal
87,Dewgong,Water,Ice,475,90,70,80,70,95,70,1,Normal
88,Grimer,Poison,,325,80,80,50,40,50,25,1,Normal
88,Alolan Grimer,Poison,Dark,325,80,80,50,40,50,25,1,Normal
89,Muk,Poison,,500,105,105,75,65,100,50,1,Normal
89,Alolan Muk,Poison,Dark,500,105,105,75,65,100,50,1,Normal
90,Shellder,Water,,305,30,65,100,45,25,40,1,Normal
91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,Normal
92,Gastly,Ghost,Poison,310,30,35,30,100,35,80,1,Normal
93,Haunter,Ghost,Poison,405,45,50,45,115,55,95,1,Normal
94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,Normal
94,Mega Gengar,Ghost,Poison,600,60,65,80,170,95,130,1,Normal
95,Onix,Rock,Ground,385,35,45,160,30,45,70,1,Normal
96,Drowzee,Psychic,,328,60,48,45,43,90,42,1,Normal
97,Hypno,Psychic,,483,85,73,70,73,115,67,1,Normal
98,Krabby,Water,,325,30,105,90,25,25,50,1,Normal
99,Kingler,Water,,475,55,130,115,50,50,75,1,Normal
100,Voltorb,Electric,,330,40,30,50,55,55,100,1,Normal
101,Electrode,Electric,,490,60,50,70,80,80,150,1,Normal
102,Exeggcute,Grass,Psychic,325,60,40,80,60,45,40,1,Normal
103,Exeggutor,Grass,Psychic,530,95,95,85,125,75,55,1,Normal
103,Alolan Exeggutor,Grass,Dragon,530,95,105,85,125,75,45,1,Normal
104,Cubone,Ground,,320,50,50,95,40,50,35,1,Normal
105,Marowak,Ground,,425,60,80,110,50,80,45,1,Normal
105,Alolan Marowak,Fire,Ghost,425,60,80,110,50,80,45,1,Normal
106,Hitmonlee,Fighting,,455,50,120,53,35,110,87,1,Normal
107,Hitmonchan,Fighting,,455,50,105,79,35,110,76,1,Normal
108,Lickitung,Normal,,385,90,55,75,60,75,30,1,Normal
109,Koffing,Poison,,340,40,65,95,60,45,35,1,Normal
110,Weezing,Poison,,490,65,90,120,85,70,60,1,Normal
110,Galarian Weezing,Poison,Fairy,490,65,90,120,85,70,60,1,Normal
111,Rhyhorn,Ground,Rock,345,80,85,95,30,30,25,1,Normal
112,Rhydon,Ground,Rock,485,105,130,120,45,45,40,1,Normal
113,Chansey,Normal,,450,250,5,5,35,105,50,1,Normal
114,Tangela,Grass,,435,65,55,115,100,40,60,1,Normal
115,Kangaskhan,Normal,,490,105,95,80,40,80,90,1,Normal
115,Mega Kangaskhan,Normal,,590,105,125,100,60,100,100,1,Normal
116,Horsea,Water,,295,30,40,70,70,25,60,1,Normal
117,Seadra,Water,,440,55,65,95,95,45,85,1,Normal
118,Goldeen,Water,,320,45,67,60,35,50,63,1,Normal
119,Seaking,Water,,450,80,92,65,65,80,68,1,Normal
120,Staryu,Water,,340,30,45,55,70,55,85,1,Normal
121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,Normal
122,Mr. Mime,Psychic,Fairy,460,40,45,65,100,120,90,1,Normal
122,Galarian Mr. Mime,Psychic,Ice,460,50,65,65,90,90,100,1,Normal
123,Scyther,Bug,Flying,500,70,110,80,55,80,105,1,Normal
124,Jynx,Ice,Psychic,455,65,50,35,115,95,95,1,Normal
125,Electabuzz,Electric,,490,65,83,57,95,85,105,1,Normal
126,Magmar,Fire,,495,65,95,57,100,85,93,1,Normal
127,Pinsir,Bug,,500,65,125,100,55,70,85,1,Normal
127,Mega Pinsir,Bug,Flying,600,65,155,120,65,90,105,1,Normal
128,Tauros,Normal,,490,75,100,95,40,70,110,1,Normal
129,Magikarp,Water,,200,20,10,55,15,20,80,1,Normal
130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,Normal
130,Mega Gyarados,Water,Dark,640,95,155,109,70,130,81,1,Normal
131,Lapras,Water,Ice,535,130,85,80,85,95,60,1,Normal
132,Ditto,Normal,,288,48,48,48,48,48,48,1,Normal
133,Eevee,Normal,,325,55,55,50,45,65,55,1,Normal
133,Partner Eevee,Normal,,435,65,75,70,65,85,75,1,Normal
134,Vaporeon,Water,,525,130,65,60,110,95,65,1,Normal
135,Jolteon,Electric,,525,65,65,60,110,95,130,1,Normal
136,Flareon,Fire,,525,65,130,60,95,110,65,1,Normal
137,Porygon,Normal,,395,65,60,70,85,75,40,1,Normal
138,Omanyte,Rock,Water,355,35,40,100,90,55,35,1,Normal
139,Omastar,Rock,Water,495,70,60,125,115,70,55,1,Normal
140,Kabuto,Rock,Water,355,30,80,90,55,45,55,1,Normal
141,Kabutops,Rock,Water,495,60,115,105,65,70,80,1,Normal
142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,Normal
142,Mega Aerodactyl,Rock,Flying,615,80,135,85,70,95,150,1,Normal
143,Snorlax,Normal,,540,160,110,65,65,110,30,1,Normal
144,Articuno,Ice,Flying,580,90,85,100,95,125,85,1,Sub Legendary
145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,Sub Legendary
146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,Sub Legendary
147,Dratini,Dragon,,300,41,64,45,50,50,50,1,Normal
148,Dragonair,Dragon,,420,61,84,65,70,70,70,1,Normal
149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,Normal
150,Mewtwo,Psychic,,680,106,110,90,154,90,130,1,Legendary
150,Mega Mewtwo X,Psychic,Fighting,780,106,190,100,154,100,130,1,Legendary
150,Mega Mewtwo Y,Psychic,,780,106,150,70,194,120,140,1,Legendary
151,Mew,Psychic,,600,100,100,100,100,100,100,1,Mythical
152,Chikorita,Grass,,318,45,49,65,49,65,45,2,Normal
153,Bayleef,Grass,,405,60,62,80,63,80,60,2,Normal
154,Meganium,Grass,,525,80,82,100,83,100,80,2,Normal
155,Cyndaquil,Fire,,309,39,52,43,60,50,65,2,Normal
156,Quilava,Fire,,405,58,64,58,80,65,80,2,Normal
157,Typhlosion,Fire,,534,78,84,78,109,85,100,2,Normal
158,Totodile,Water,,314,50,65,64,44,48,43,2,Normal
159,Croconaw,Water,,405,65,80,80,59,63,58,2,Normal
160,Feraligatr,Water,,530,85,105,100,79,83,78,2,Normal
161,Sentret,Normal,,215,35,46,34,35,45,20,2,Normal
162,Furret,Normal,,415,85,76,64,45,55,90,2,Normal
163,Hoothoot,Normal,Flying,262,60,30,30,36,56,50,2,Normal
164,Noctowl,Normal,Flying,452,100,50,50,86,96,70,2,Normal
165,Ledyba,Bug,Flying,265,40,20,30,40,80,55,2,Normal
166,Ledian,Bug,Flying,390,55,35,50,55,110,85,2,Normal
167,Spinarak,Bug,Poison,250,40,60,40,40,40,30,2,Normal
168,Ariados,Bug,Poison,400,70,90,70,60,70,40,2,Normal
169,Crobat,Poison,Flying,535,85,90,80,70,80,130,2,Normal
170,Chinchou,Water,Electric,330,75,38,38,56,56,67,2,Normal
171,Lanturn,Water,Electric,460,125,58,58,76,76,67,2,Normal
172,Pichu,Electric,,205,20,40,15,35,35,60,2,Normal
173,Cleffa,Fairy,,218,50,25,28,45,55,15,2,Normal
174,Igglybuff,Normal,Fairy,210,90,30,15,40,20,15,2,Normal
175,Togepi,Fairy,,245,35,20,65,40,65,20,2,Normal
176,Togetic,Fairy,Flying,405,55,40,85,80,105,40,2,Normal
177,Natu,Psychic,Flying,320,40,50,45,70,45,70,2,Normal
178,Xatu,Psychic,Flying,470,65,75,70,95,70,95,2,Normal
179,Mareep,Electric,,280,55,40,40,65,45,35,2,Normal
180,Flaaffy,Electric,,365,70,55,55,80,60,45,2,Normal
181,Ampharos,Electric,,510,90,75,85,115,90,55,2,Normal
181,Mega Ampharos,Electric,Dragon,610,90,95,105,165,110,45,2,Normal
182,Bellossom,Grass,,490,75,80,95,90,100,50,2,Normal
183,Marill,Water,Fairy,250,70,20,50,20,50,40,2,Normal
184,Azumarill,Water,Fairy,420,100,50,80,60,80,50,2,Normal
185,Sudowoodo,Rock,,410,70,100,115,30,65,30,2,Normal
186,Politoed,Water,,500,90,75,75,90,100,70,2,Normal
187,Hoppip,Grass,Flying,250,35,35,40,35,55,50,2,Normal
188,Skiploom,Grass,Flying,340,55,45,50,45,65,80,2,Normal
189,Jumpluff,Grass,Flying,460,75,55,70,55,95,110,2,Normal
190,Aipom,Normal,,360,55,70,55,40,55,85,2,Normal
191,Sunkern,Grass,,180,30,30,30,30,30,30,2,Normal
192,Sunflora,Grass,,425,75,75,55,105,85,30,2,Normal
193,Yanma,Bug,Flying,390,65,65,45,75,45,95,2,Normal
194,Wooper,Water,Ground,210,55,45,45,25,25,15,2,Normal
195,Quagsire,Water,Ground,430,95,85,85,65,65,35,2,Normal
196,Espeon,Psychic,,525,65,65,60,130,95,110,2,Normal
197,Umbreon,Dark,,525,95,65,110,60,130,65,2,Normal
198,Murkrow,Dark,Flying,405,60,85,42,85,42,91,2,Normal
199,Slowking,Water,Psychic,490,95,75,80,100,110,30,2,Normal
200,Misdreavus,Ghost,,435,60,60,60,85,85,85,2,Normal
201,Unown,Psychic,,336,48,72,48,72,48,48,2,Normal
202,Wobbuffet,Psychic,,405,190,33,58,33,58,33,2,Normal
203,Girafarig,Normal,Psychic,455,70,80,65,90,65,85,2,Normal
204,Pineco,Bug,,290,50,65,90,35,35,15,2,Normal
205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,Normal
206,Dunsparce,Normal,,415,100,70,70,65,65,45,2,Normal
207,Gligar,Ground,Flying,430,65,75,105,35,65,85,2,Normal
208,Steelix,Steel,Ground,510,75,85,200,55,65,30,2,Normal
208,Mega Steelix,Steel,Ground,610,75,125,230,55,95,30,2,Normal
209,Snubbull,Fairy,,300,60,80,50,40,40,30,2,Normal
210,Granbull,Fairy,,450,90,120,75,60,60,45,2,Normal
211,Qwilfish,Water,Poison,440,65,95,85,55,55,85,2,Normal
212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,Normal
212,Mega Scizor,Bug,Steel,600,70,150,140,65,100,75,2,Normal
213,Shuckle,Bug,Rock,505,20,10,230,10,230,5,2,Normal
214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,Normal
214,Mega Heracross,Bug,Fighting,600,80,185,115,40,105,75,2,Normal
215,Sneasel,Dark,Ice,430,55,95,55,35,75,115,2,Normal
216,Teddiursa,Normal,,330,60,80,50,50,50,40,2,Normal
217,Ursaring,Normal,,500,90,130,75,75,75,55,2,Normal
218,Slugma,Fire,,250,40,40,40,70,40,20,2,Normal
219,Magcargo,Fire,Rock,430,60,50,120,90,80,30,2,Normal
220,Swinub,Ice,Ground,250,50,50,40,30,30,50,2,Normal
221,Piloswine,Ice,Ground,450,100,100,80,60,60,50,2,Normal
222,Corsola,Water,Rock,410,65,55,95,65,95,35,2,Normal
222,Galarian Corsola,Ghost,,410,60,55,100,65,100,30,2,Normal
223,Remoraid,Water,,300,35,65,35,65,35,65,2,Normal
224,Octillery,Water,,480,75,105,75,105,75,45,2,Normal
225,Delibird,Ice,Flying,330,45,55,45,65,45,75,2,Normal
226,Mantine,Water,Flying,485,85,40,70,80,140,70,2,Normal
227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,Normal
228,Houndour,Dark,Fire,330,45,60,30,80,50,65,2,Normal
229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,Normal
229,Mega Houndoom,Dark,Fire,600,75,90,90,140,90,115,2,Normal
230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,Normal
231,Phanpy,Ground,,330,90,60,60,40,40,40,2,Normal
232,Donphan,Ground,,500,90,120,120,60,60,50,2,Normal
233,Porygon2,Normal,,515,85,80,90,105,95,60,2,Normal
234,Stantler,Normal,,465,73,95,62,85,65,85,2,Normal
235,Smeargle,Normal,,250,55,20,35,20,45,75,2,Normal
236,Tyrogue,Fighting,,210,35,35,35,35,35,35,2,Normal
237,Hitmontop,Fighting,,455,50,95,95,35,110,70,2,Normal
238,Smoochum,Ice,Psychic,305,45,30,15,85,65,65,2,Normal
239,Elekid,Electric,,360,45,63,37,65,55,95,2,Normal
240,Magby,Fire,,365,45,75,37,70,55,83,2,Normal
241,Miltank,Normal,,490,95,80,105,40,70,100,2,Normal
242,Blissey,Normal,,540,255,10,10,75,135,55,2,Normal
243,Raikou,Electric,,580,90,85,75,115,100,115,2,Sub Legendary
244,Entei,Fire,,580,115,115,85,90,75,100,2,Sub Legendary
245,Suicune,Water,,580,100,75,115,90,115,85,2,Sub Legendary
246,Larvitar,Rock,Ground,300,50,64,50,45,50,41,2,Normal
247,Pupitar,Rock,Ground,410,70,84,70,65,70,51,2,Normal
248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,Normal
248,Mega Tyranitar,Rock,Dark,700,100,164,150,95,120,71,2,Normal
249,Lugia,Psychic,Flying,680,106,90,130,90,154,110,2,Legendary
250,Ho-oh,Fire,Flying,680,106,130,90,110,154,90,2,Legendary
251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,Mythical
252,Treecko,Grass,,310,40,45,35,65,55,70,3,Normal
253,Grovyle,Grass,,405,50,65,45,85,65,95,3,Normal
254,Sceptile,Grass,,530,70,85,65,105,85,120,3,Normal
254,Mega Sceptile,Grass,Dragon,630,70,110,75,145,85,145,3,Normal
255,Torchic,Fire,,310,45,60,40,70,50,45,3,Normal
256,Combusken,Fire,Fighting,405,60,85,60,85,60,55,3,Normal
257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,Normal
257,Mega Blaziken,Fire,Fighting,630,80,160,80,130,80,100,3,Normal
258,Mudkip,Water,,310,50,70,50,50,50,40,3,Normal
259,Marshtomp,Water,Ground,405,70,85,70,60,70,50,3,Normal
260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,Normal
260,Mega Swampert,Water,Ground,635,100,150,110,95,110,70,3,Normal
261,Poochyena,Dark,,220,35,55,35,30,30,35,3,Normal
262,Mightyena,Dark,,420,70,90,70,60,60,70,3,Normal
263,Zigzagoon,Normal,,240,38,30,41,30,41,60,3,Normal
263,Galarian Zigzagoon,Dark,Normal,240,38,30,41,30,41,60,3,Normal
264,Linoone,Normal,,420,78,70,61,50,61,100,3,Normal
264,Galarian Linoone,Dark,Normal,420,78,70,61,50,61,100,3,Normal
265,Wurmple,Bug,,195,45,45,35,20,30,20,3,Normal
266,Silcoon,Bug,,205,50,35,55,25,25,15,3,Normal
267,Beautifly,Bug,Flying,395,60,70,50,100,50,65,3,Normal
268,Cascoon,Bug,,205,50,35,55,25,25,15,3,Normal
269,Dustox,Bug,Poison,385,60,50,70,50,90,65,3,Normal
270,Lotad,Water,Grass,220,40,30,30,40,50,30,3,Normal
271,Lombre,Water,Grass,340,60,50,50,60,70,50,3,Normal
272,Ludicolo,Water,Grass,480,80,70,70,90,100,70,3,Normal
273,Seedot,Grass,,220,40,40,50,30,30,30,3,Normal
274,Nuzleaf,Grass,Dark,340,70,70,40,60,40,60,3,Normal
275,Shiftry,Grass,Dark,480,90,100,60,90,60,80,3,Normal
276,Taillow,Normal,Flying,270,40,55,30,30,30,85,3,Normal
277,Swellow,Normal,Flying,455,60,85,60,75,50,125,3,Normal
278,Wingull,Water,Flying,270,40,30,30,55,30,85,3,Normal
279,Pelipper,Water,Flying,440,60,50,100,95,70,65,3,Normal
280,Ralts,Psychic,Fairy,198,28,25,25,45,35,40,3,Normal
281,Kirlia,Psychic,Fairy,278,38,35,35,65,55,50,3,Normal
282,Gardevoir,Psychic,Fairy,518,68,65,65,125,115,80,3,Normal
282,Mega Gardevoir,Psychic,Fairy,618,68,85,65,165,135,100,3,Normal
283,Surskit,Bug,Water,269,40,30,32,50,52,65,3,Normal
284,Masquerain,Bug,Flying,454,70,60,62,100,82,80,3,Normal
285,Shroomish,Grass,,295,60,40,60,40,60,35,3,Normal
286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,Normal
287,Slakoth,Normal,,280,60,60,60,35,35,30,3,Normal
288,Vigoroth,Normal,,440,80,80,80,55,55,90,3,Normal
289,Slaking,Normal,,670,150,160,100,95,65,100,3,Normal
290,Nincada,Bug,Ground,266,31,45,90,30,30,40,3,Normal
291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,Normal
292,Shedinja,Bug,Ghost,236,1,90,45,30,30,40,3,Normal
293,Whismur,Normal,,240,64,51,23,51,23,28,3,Normal
294,Loudred,Normal,,360,84,71,43,71,43,48,3,Normal
295,Exploud,Normal,,490,104,91,63,91,73,68,3,Normal
296,Makuhita,Fighting,,237,72,60,30,20,30,25,3,Normal
297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,Normal
298,Azurill,Normal,Fairy,190,50,20,40,20,40,20,3,Normal
299,Nosepass,Rock,,375,30,45,135,45,90,30,3,Normal
300,Skitty,Normal,,260,50,45,45,35,35,50,3,Normal
301,Delcatty,Normal,,400,70,65,65,55,55,90,3,Normal
302,Sableye,Dark,Ghost,380,50,75,75,65,65,50,3,Normal
302,Mega Sableye,Dark,Ghost,480,50,85,125,85,115,20,3,Normal
303,Mawile,Steel,Fairy,380,50,85,85,55,55,50,3,Normal
303,Mega Mawile,Steel,Fairy,480,50,105,125,55,95,50,3,Normal
304,Aron,Steel,Rock,330,50,70,100,40,40,30,3,Normal
305,Lairon,Steel,Rock,430,60,90,140,50,50,40,3,Normal
306,Aggron,Steel,Rock,530,70,110,180,60,60,50,3,Normal
306,Mega Aggron,Steel,,630,70,140,230,60,80,50,3,Normal
307,Meditite,Fighting,Psychic,280,30,40,55,40,55,60,3,Normal
308,Medicham,Fighting,Psychic,410,60,60,75,60,75,80,3,Normal
308,Mega Medicham,Fighting,Psychic,510,60,100,85,80,85,100,3,Normal
309,Electrike,Electric,,295,40,45,40,65,40,65,3,Normal
310,Manectric,Electric,,475,70,75,60,105,60,105,3,Normal
310,Mega Manectric,Electric,,575,70,75,80,135,80,135,3,Normal
311,Plusle,Electric,,405,60,50,40,85,75,95,3,Normal
312,Minun,Electric,,405,60,40,50,75,85,95,3,Normal
313,Volbeat,Bug,,430,65,73,75,47,85,85,3,Normal
314,Illumise,Bug,,430,65,47,75,73,85,85,3,Normal
315,Roselia,Grass,Poison,400,50,60,45,100,80,65,3,Normal
316,Gulpin,Poison,,302,70,43,53,43,53,40,3,Normal
317,Swalot,Poison,,467,100,73,83,73,83,55,3,Normal
318,Carvanha,Water,Dark,305,45,90,20,65,20,65,3,Normal
319,Sharpedo,Water,Dark,460,70,120,40,95,40,95,3,Normal
319,Mega Sharpedo,Water,Dark,560,70,140,70,110,65,105,3,Normal
320,Wailmer,Water,,400,130,70,35,70,35,60,3,Normal
321,Wailord,Water,,500,170,90,45,90,45,60,3,Normal
322,Numel,Fire,Ground,305,60,60,40,65,45,35,3,Normal
323,Camerupt,Fire,Ground,460,70,100,70,105,75,40,3,Normal
323,Mega Camerupt,Fire,Ground,560,70,120,100,145,105,20,3,Normal
324,Torkoal,Fire,,470,70,85,140,85,70,20,3,Normal
325,Spoink,Psychic,,330,60,25,35,70,80,60,3,Normal
326,Grumpig,Psychic,,470,80,45,65,90,110,80,3,Normal
327,Spinda,Normal,,360,60,60,60,60,60,60,3,Normal
328,Trapinch,Ground,,290,45,100,45,45,45,10,3,Normal
329,Vibrava,Ground,Dragon,340,50,70,50,50,50,70,3,Normal
330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,Normal
331,Cacnea,Grass,,335,50,85,40,85,40,35,3,Normal
332,Cacturne,Grass,Dark,475,70,115,60,115,60,55,3,Normal
333,Swablu,Normal,Flying,310,45,40,60,40,75,50,3,Normal
334,Altaria,Dragon,Flying,490,75,70,90,70,105,80,3,Normal
334,Mega Altaria,Dragon,Fairy,590,75,110,110,110,105,80,3,Normal
335,Zangoose,Normal,,458,73,115,60,60,60,90,3,Normal
